domain,trial,case,expected,actual,reason,correct,verification_ms
enterprise_admin,22,exact_match,accept,accept,approved,True,0.015833999999992354
enterprise_admin,22,role_escalation,reject,reject,semantic_mismatch,True,0.01587499999999853
enterprise_admin,22,tenant_tamper,reject,reject,semantic_mismatch,True,0.016083999999999543
enterprise_admin,23,exact_match,accept,accept,approved,True,0.01595899999999595
enterprise_admin,23,role_escalation,reject,reject,semantic_mismatch,True,0.016000000000002124
enterprise_admin,23,tenant_tamper,reject,reject,semantic_mismatch,True,0.016041999999993894
enterprise_admin,24,exact_match,accept,accept,approved,True,0.01604099999999442
enterprise_admin,24,role_escalation,reject,reject,semantic_mismatch,True,0.016125000000005718
enterprise_admin,24,tenant_tamper,reject,reject,semantic_mismatch,True,0.016209000000003138
enterprise_admin,25,exact_match,accept,accept,approved,True,0.02758300000001157
enterprise_admin,25,role_escalation,reject,reject,semantic_mismatch,True,0.017957999999998475
enterprise_admin,25,tenant_tamper,reject,reject,semantic_mismatch,True,0.01645899999999645
enterprise_admin,26,exact_match,accept,accept,approved,True,0.01604099999999442
enterprise_admin,26,role_escalation,reject,reject,semantic_mismatch,True,0.01616699999999749
enterprise_admin,26,tenant_tamper,reject,reject,semantic_mismatch,True,0.01633299999999338
enterprise_admin,27,exact_match,accept,accept,approved,True,0.01608300000000007
enterprise_admin,27,role_escalation,reject,reject,semantic_mismatch,True,0.037124999999998964
enterprise_admin,27,tenant_tamper,reject,reject,semantic_mismatch,True,0.016791999999987706
enterprise_admin,28,exact_match,accept,accept,approved,True,0.015999999999988246
enterprise_admin,28,role_escalation,reject,reject,semantic_mismatch,True,0.01629100000000161
enterprise_admin,28,tenant_tamper,reject,reject,semantic_mismatch,True,0.01637499999999903
enterprise_admin,29,exact_match,accept,accept,approved,True,0.01633299999999338
enterprise_admin,29,role_escalation,reject,reject,semantic_mismatch,True,0.016500000000002624
enterprise_admin,29,tenant_tamper,reject,reject,semantic_mismatch,True,0.01612499999999184
enterprise_admin,30,exact_match,accept,accept,approved,True,0.016000000000002124
enterprise_admin,30,role_escalation,reject,reject,semantic_mismatch,True,0.016208000000003664
enterprise_admin,30,tenant_tamper,reject,reject,semantic_mismatch,True,0.016250000000009313
enterprise_admin,31,exact_match,accept,accept,approved,True,0.02362499999999934
enterprise_admin,31,role_escalation,reject,reject,semantic_mismatch,True,0.01808300000000207
enterprise_admin,31,tenant_tamper,reject,reject,semantic_mismatch,True,0.017333999999993854
enterprise_admin,32,exact_match,accept,accept,approved,True,0.016792000000001583
enterprise_admin,32,role_escalation,reject,reject,semantic_mismatch,True,0.016958000000011353
enterprise_admin,32,tenant_tamper,reject,reject,semantic_mismatch,True,0.016834000000007232
enterprise_admin,33,exact_match,accept,accept,approved,True,0.01666699999999799
enterprise_admin,33,role_escalation,reject,reject,semantic_mismatch,True,0.017834000000008232
enterprise_admin,33,tenant_tamper,reject,reject,semantic_mismatch,True,0.01712499999999284
enterprise_admin,34,exact_match,accept,accept,approved,True,0.024415999999999327
enterprise_admin,34,role_escalation,reject,reject,semantic_mismatch,True,0.016249999999995435
enterprise_admin,34,tenant_tamper,reject,reject,semantic_mismatch,True,0.01604099999999442
enterprise_admin,35,exact_match,accept,accept,approved,True,0.01587499999999853
enterprise_admin,35,role_escalation,reject,reject,semantic_mismatch,True,0.016083999999999543
enterprise_admin,35,tenant_tamper,reject,reject,semantic_mismatch,True,0.016208000000003664
enterprise_admin,36,exact_match,accept,accept,approved,True,0.016000000000002124
enterprise_admin,36,role_escalation,reject,reject,semantic_mismatch,True,0.01616699999999749
enterprise_admin,36,tenant_tamper,reject,reject,semantic_mismatch,True,0.01608300000000007
enterprise_admin,37,exact_match,accept,accept,approved,True,0.01583300000000676
enterprise_admin,37,role_escalation,reject,reject,semantic_mismatch,True,0.016249999999995435
enterprise_admin,37,tenant_tamper,reject,reject,semantic_mismatch,True,0.016292000000001083
enterprise_admin,38,exact_match,accept,accept,approved,True,0.025207999999998787
enterprise_admin,38,role_escalation,reject,reject,semantic_mismatch,True,0.0164169999999908
enterprise_admin,38,tenant_tamper,reject,reject,semantic_mismatch,True,0.016041999999993894
enterprise_admin,39,exact_match,accept,accept,approved,True,0.016207999999989786
enterprise_admin,39,role_escalation,reject,reject,semantic_mismatch,True,0.01616699999999749
enterprise_admin,39,tenant_tamper,reject,reject,semantic_mismatch,True,0.016165999999998015
enterprise_admin,40,exact_match,accept,accept,approved,True,0.01612499999999184
enterprise_admin,40,role_escalation,reject,reject,semantic_mismatch,True,0.01608300000000007
enterprise_admin,40,tenant_tamper,reject,reject,semantic_mismatch,True,0.01612499999999184
enterprise_admin,41,exact_match,accept,accept,approved,True,0.016292000000001083
enterprise_admin,41,role_escalation,reject,reject,semantic_mismatch,True,0.01612499999999184
enterprise_admin,41,tenant_tamper,reject,reject,semantic_mismatch,True,0.016249999999995435
enterprise_admin,42,exact_match,accept,accept,approved,True,0.01608300000000007
enterprise_admin,42,role_escalation,reject,reject,semantic_mismatch,True,0.016083999999999543
enterprise_admin,42,tenant_tamper,reject,reject,semantic_mismatch,True,0.016042000000007772
enterprise_admin,43,exact_match,accept,accept,approved,True,0.017415999999992327
enterprise_admin,43,role_escalation,reject,reject,semantic_mismatch,True,0.01637499999999903
enterprise_admin,43,tenant_tamper,reject,reject,semantic_mismatch,True,0.015708000000003164
enterprise_admin,44,exact_match,accept,accept,approved,True,0.015792000000000583
enterprise_admin,44,role_escalation,reject,reject,semantic_mismatch,True,0.015749999999994935
