trial,scenario,mode,accepted,expected_accept,correct,reason,verification_overhead_ms
30,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.021999999999994246
30,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.005624999999995217
30,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.022333999999998855
30,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.005709000000006514
30,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.022416000000011205
31,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.006082999999990069
31,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.02216699999998961
31,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.005624999999995217
31,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.08037500000000752
31,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.009083999999992542
31,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.025832999999989004
31,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.006249999999999312
31,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.023915999999998827
32,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.006917000000009055
32,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.023250000000002435
32,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.012166999999993489
32,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.027833999999990477
32,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.005834000000010109
32,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.022207999999995787
32,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.005708999999992637
32,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.022041999999999895
33,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.006041999999997771
33,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.02208300000000607
33,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.005625000000009095
33,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.02183299999999888
33,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.005624999999995217
33,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.021707999999995287
33,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.0055829999999895685
33,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.021790999999993232
34,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.005875000000002406
34,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.021999999999994246
34,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.005667000000000866
34,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.02183299999999888
34,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.0057919999999905825
34,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.02195900000000195
34,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.005541999999997271
34,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.021750000000000935
35,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.0058329999999967574
35,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.021915999999996827
35,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.005666000000001392
35,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.021750000000000935
35,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.005749999999998812
35,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.022041999999999895
35,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.005708999999992637
35,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.021958000000002476
36,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.005667000000000866
36,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.021874999999990652
36,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.005667000000000866
36,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.021750000000000935
36,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.005624999999995217
36,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.021750000000000935
36,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.00558400000000292
36,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.021750000000000935
37,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.005749999999998812
37,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.02212499999999784
37,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.005624999999995217
37,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.02179100000000711
37,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.005624999999995217
37,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.022250000000001435
37,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.005624999999995217
37,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.058083999999999913
38,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.007125000000010595
38,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.023166999999990612
